epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1290.65,1.81692,1.37884,1.39812,0.52185,0.55444,0.50503,0.19838,2.20888,1.61391,1.67069,0.000790022,0.000790022,0.000790022
54,1314.86,1.81732,1.38088,1.41144,0.50615,0.56298,0.52136,0.19835,2.15821,1.66673,1.65231,0.00076418,0.00076418,0.00076418
55,1339.09,1.80228,1.34558,1.38161,0.56149,0.58229,0.54873,0.20949,2.16325,1.5869,1.66245,0.000738414,0.000738414,0.000738414
56,1362.37,1.82609,1.36692,1.39915,0.54887,0.56596,0.54286,0.20501,2.15241,1.65021,1.6332,0.000712751,0.000712751,0.000712751
57,1386.83,1.79606,1.34863,1.38024,0.59451,0.59325,0.57357,0.22202,2.12197,1.60167,1.63035,0.000687214,0.000687214,0.000687214
58,1410.34,1.79066,1.33656,1.36544,0.55033,0.61952,0.55206,0.20709,2.1671,1.5362,1.65016,0.000661831,0.000661831,0.000661831
59,1432.13,1.79015,1.34184,1.39487,0.56103,0.55636,0.51787,0.19159,2.22578,1.64944,1.69765,0.000636625,0.000636625,0.000636625
60,1454.1,1.78685,1.37832,1.37905,0.56502,0.58404,0.54442,0.20875,2.15171,1.58309,1.63871,0.000611621,0.000611621,0.000611621
61,1475.82,1.7989,1.32666,1.38696,0.59586,0.56369,0.54723,0.20659,2.19203,1.54151,1.6417,0.000586845,0.000586845,0.000586845
62,1497.92,1.75888,1.283,1.36756,0.57633,0.59915,0.54084,0.20601,2.15916,1.6126,1.65057,0.00056232,0.00056232,0.00056232
63,1519.89,1.7411,1.30608,1.37726,0.54445,0.58759,0.53842,0.19342,2.22086,1.57508,1.6736,0.000538072,0.000538072,0.000538072
64,1541.75,1.74623,1.29909,1.37116,0.60714,0.5999,0.57223,0.21855,2.10378,1.53513,1.617,0.000514122,0.000514122,0.000514122
65,1563.71,1.72644,1.24976,1.35462,0.57968,0.59709,0.54007,0.20606,2.18214,1.55359,1.66955,0.000490497,0.000490497,0.000490497
66,1585.46,1.71569,1.28926,1.32365,0.56322,0.61871,0.55122,0.20865,2.16768,1.5937,1.64325,0.000467218,0.000467218,0.000467218
67,1607.4,1.72735,1.26115,1.32435,0.58994,0.61376,0.56354,0.20749,2.21885,1.56629,1.6855,0.000444309,0.000444309,0.000444309
68,1629.11,1.72138,1.26628,1.35753,0.56576,0.60454,0.55051,0.21358,2.16037,1.55663,1.63915,0.000421792,0.000421792,0.000421792
69,1650.43,1.72561,1.23313,1.33505,0.57694,0.61202,0.5583,0.20711,2.18565,1.53678,1.67164,0.000399689,0.000399689,0.000399689
70,1671.27,1.67197,1.20987,1.31459,0.60062,0.58473,0.55559,0.21036,2.22767,1.66841,1.7165,0.000378023,0.000378023,0.000378023
71,1692.2,1.68707,1.21829,1.327,0.58467,0.56169,0.54256,0.20876,2.2095,1.56539,1.68283,0.000356815,0.000356815,0.000356815
72,1713.42,1.69258,1.18959,1.31137,0.54823,0.59709,0.55009,0.20893,2.20047,1.5657,1.68746,0.000336086,0.000336086,0.000336086
73,1734.49,1.64681,1.17918,1.30563,0.60581,0.61101,0.56277,0.20464,2.24296,1.56234,1.72666,0.000315855,0.000315855,0.000315855
74,1755.57,1.64391,1.17326,1.31031,0.59006,0.58302,0.56781,0.2074,2.21758,1.56974,1.7109,0.000296144,0.000296144,0.000296144
75,1777.21,1.64624,1.17077,1.29787,0.57493,0.6309,0.55404,0.2039,2.20727,1.52157,1.70409,0.000276971,0.000276971,0.000276971
76,1798.37,1.60277,1.14155,1.29093,0.59689,0.60193,0.55068,0.20206,2.24788,1.5529,1.73207,0.000258355,0.000258355,0.000258355
77,1819.54,1.62009,1.13606,1.29462,0.54435,0.60962,0.53967,0.20266,2.20688,1.56506,1.70032,0.000240316,0.000240316,0.000240316
